Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Silhus Jorba;Henba FC;Primera División Argentina;27;Extremo izquierdo;876;12;4;3;4.85;2.36;38.0;16.0;21.0;74.3;47.0;19.0;13.0;8.0;41.0;31.0;66.4;61.6;23.0;10.0;53.0;22.0;9.0;13.0;5;0;;;;;7084228
Pramir Ostdin;Henba FC;Primera División Argentina;25;Pivote;1496;22;1;2;0.76;1.05;7.0;2.0;22.0;74.6;153.0;71.0;36.0;13.0;90.0;31.0;49.6;64.1;15.0;41.0;116.0;66.0;13.0;12.0;6;0;;;;;10761055
Ivadin Pratov;Henba FC;Primera División Argentina;17;MC;1019;14;0;0;1.24;1.52;4.0;1.0;6.0;69.3;51.0;8.0;19.0;5.0;7.0;40.0;54.5;60.0;13.0;10.0;32.0;41.0;2.0;18.0;3;0;;;;;582803
Siltov Kallan;Henba FC;Primera División Argentina;22;Mediapunta;1928;34;7;4;7.65;3.06;62.0;16.0;42.0;70.3;142.0;88.0;58.0;25.0;69.0;41.0;66.3;56.6;31.0;32.0;142.0;55.0;25.0;46.0;6;0;;;;;15512539
Dannen Henkov;Henba FC;Primera División Argentina;23;Delantero centro;2091;25;2;1;2.49;1.5;44.0;22.0;26.0;85.1;41.0;25.0;37.0;11.0;139.0;45.0;40.9;40.9;21.0;11.0;128.0;83.0;11.0;48.0;8;0;;;;;1084880
Henfal Farkov;Henba FC;Primera División Argentina;26;MC;1923;22;0;1;3.11;1.62;26.0;11.0;16.0;92.3;50.0;21.0;53.0;29.0;45.0;48.0;31.9;51.1;46.0;33.0;219.0;60.0;25.0;34.0;7;0;;;;;12110937
Gollan Arba;Henba FC;Primera División Argentina;17;Extremo izquierdo;1894;30;8;5;8.73;6.29;27.0;7.0;11.0;72.7;116.0;47.0;31.0;5.0;71.0;7.0;50.1;65.4;37.0;27.0;266.0;6.0;13.0;40.0;1;0;;;;;19105708
Dantov Bellan;Henba FC;Primera División Argentina;26;Lateral derecho;1559;18;0;0;2.81;2.24;3.0;1.0;13.0;89.4;43.0;39.0;38.0;3.0;18.0;33.0;57.3;62.3;25.0;30.0;63.0;18.0;8.0;25.0;9;0;;;;;1067441
Praez Farba;Henba FC;Primera División Argentina;17;MC;2046;25;0;1;2.16;4.45;29.0;13.0;41.0;82.7;132.0;70.0;71.0;12.0;53.0;58.0;65.7;57.2;51.0;42.0;235.0;43.0;26.0;26.0;3;1;;;;;5506606
Golkov Lunfal;Nevba FC;Primera División Argentina;30;POR;1488;17;0;0;;;;;22.0;88.8;76.0;73.0;6.0;13.0;93.0;12.0;59.5;53.5;33.0;34.0;67.0;44.0;19.0;16.0;7;0;83.0;21.0;1.0;20.0;1912589
Silpel Kalce;Nevba FC;Primera División Argentina;19;POR;1482;20;0;0;;;;;11.0;74.1;93.0;18.0;35.0;9.0;40.0;57.0;57.3;56.2;20.0;34.0;218.0;32.0;19.0;28.0;3;0;45.0;28.0;7.0;3.0;10737548
Quiic Roszar;Nevba FC;Primera División Argentina;26;Pivote;1505;16;0;0;0.4;3.92;22.0;8.0;13.0;69.4;120.0;54.0;16.0;12.0;91.0;63.0;59.5;64.7;18.0;29.0;167.0;10.0;6.0;9.0;6;0;;;;;3376336
Golhus Kaldin;Nevba FC;Primera División Argentina;19;Lateral derecho;1888;31;2;2;1.32;3.86;25.0;9.0;7.0;79.3;146.0;59.0;65.0;27.0;99.0;13.0;41.0;58.5;59.0;49.0;175.0;37.0;13.0;43.0;5;0;;;;;8085267
Belzar Pranen;Nevba FC;Primera División Argentina;26;Extremo izquierdo;2323;37;1;0;2.01;1.48;61.0;23.0;20.0;92.0;52.0;33.0;30.0;21.0;37.0;35.0;64.8;38.8;39.0;23.0;113.0;61.0;5.0;32.0;2;0;;;;;160371
Golba Nevez;Nevba FC;Primera División Argentina;27;DC;1724;26;0;1;3.11;4.11;8.0;3.0;9.0;74.8;58.0;116.0;24.0;16.0;73.0;34.0;58.2;61.2;27.0;34.0;124.0;64.0;20.0;21.0;9;0;;;;;5739633
Nevez Golsen;Nevba FC;Primera División Argentina;21;MC;1802;24;2;2;1.81;2.74;14.0;5.0;7.0;70.6;118.0;63.0;33.0;19.0;34.0;54.0;67.9;50.6;62.0;27.0;150.0;55.0;23.0;34.0;0;0;;;;;8438156
Corhus Ivaic;Nevba FC;Primera División Argentina;27;MC;1067;13;1;0;1.49;1.94;10.0;4.0;5.0;69.0;50.0;28.0;1.0;13.0;69.0;16.0;32.5;48.0;29.0;34.0;80.0;17.0;12.0;10.0;2;0;;;;;5381094
Moros Farba;Nevba FC;Primera División Argentina;24;Delantero centro;559;8;1;0;1.69;0.65;9.0;3.0;7.0;72.8;46.0;30.0;15.0;9.0;4.0;4.0;58.3;44.0;11.0;19.0;35.0;15.0;6.0;3.0;0;1;;;;;4444394
Corpel Golju;Nevba FC;Primera División Argentina;17;Pivote;1735;29;1;3;3.07;0.53;15.0;3.0;11.0;86.7;42.0;64.0;2.0;14.0;59.0;65.0;39.8;60.3;39.0;49.0;116.0;47.0;5.0;27.0;3;0;;;;;7593453
Coros Kalez;Nevba FC;Primera División Argentina;25;Extremo izquierdo;1631;21;1;1;2.1;1.42;49.0;19.0;6.0;69.3;44.0;44.0;2.0;12.0;50.0;68.0;54.7;63.0;19.0;19.0;74.0;21.0;6.0;16.0;5;0;;;;;1885029
Arzar Silez;Nevba FC;Primera División Argentina;27;MC;1797;27;0;0;1.15;4.85;29.0;10.0;13.0;86.2;118.0;60.0;7.0;23.0;72.0;77.0;58.4;58.4;52.0;23.0;101.0;24.0;8.0;9.0;4;0;;;;;7138020
Morrin Ivaez;Nevba FC;Primera División Argentina;21;MC;1298;18;0;0;1.98;1.22;22.0;7.0;15.0;83.5;67.0;24.0;5.0;19.0;44.0;22.0;57.6;45.8;21.0;13.0;48.0;48.0;2.0;25.0;1;1;;;;;518718
Silrin Elidin;Nevba FC;Primera División Argentina;21;Lateral derecho;653;7;0;0;0.32;1.18;8.0;2.0;4.0;76.1;64.0;8.0;7.0;3.0;9.0;29.0;63.6;54.5;6.0;12.0;35.0;17.0;3.0;4.0;6;0;;;;;16425190
Ivavic Corju;Nevba FC;Primera División Argentina;23;MC;1864;20;1;1;2.32;1.62;15.0;5.0;43.0;68.9;95.0;109.0;15.0;7.0;93.0;57.0;55.8;63.2;48.0;19.0;191.0;73.0;13.0;18.0;8;0;;;;;8432775
Morzar Eliju;Nevba FC;Primera División Argentina;30;Extremo izquierdo;1787;21;2;2;3.56;2.42;65.0;18.0;36.0;83.0;48.0;81.0;30.0;14.0;118.0;54.0;34.7;62.6;13.0;53.0;164.0;61.0;18.0;31.0;5;0;;;;;3616293
Jormir Jormir;Nevba FC;Primera División Argentina;24;Extremo izquierdo;2476;42;5;3;5.42;1.94;117.0;44.0;46.0;84.0;178.0;25.0;11.0;38.0;79.0;27.0;48.0;40.4;32.0;27.0;159.0;57.0;32.0;28.0;7;0;;;;;700306
Torrin Fardin;Nevba FC;Primera División Argentina;24;Extremo izquierdo;1755;21;4;3;4.46;2.32;28.0;14.0;19.0;76.7;42.0;65.0;5.0;20.0;113.0;34.0;41.6;46.3;29.0;29.0;174.0;24.0;8.0;22.0;8;0;;;;;6295542
Ivagio Ardin;Nevba FC;Primera División Argentina;30;MC;1636;20;0;1;2.82;4.3;17.0;7.0;9.0;69.8;89.0;62.0;14.0;10.0;91.0;20.0;64.1;55.3;10.0;26.0;135.0;59.0;17.0;26.0;9;0;;;;;1703246
Silnen Arez;Nevba FC;Primera División Argentina;31;MC;1813;20;1;0;0.62;4.04;28.0;11.0;39.0;82.8;166.0;103.0;26.0;10.0;29.0;58.0;35.0;63.0;21.0;24.0;83.0;17.0;22.0;41.0;4;0;;;;;4451787
Lunfal Goldin;Nevba FC;Primera División Argentina;29;MC;2283;31;0;0;0.85;5.95;13.0;6.0;31.0;89.0;67.0;89.0;22.0;25.0;96.0;96.0;44.7;45.1;25.0;46.0;83.0;27.0;21.0;26.0;8;0;;;;;318684
Danba Elizar;Nevba FC;Primera División Argentina;22;Mediapunta;894;10;1;0;2.27;1.71;36.0;19.0;5.0;94.0;41.0;21.0;24.0;7.0;21.0;33.0;48.4;53.8;26.0;22.0;113.0;18.0;12.0;21.0;4;0;;;;;13565686
Belmir Hennen;Lunos FC;Primera División Argentina;24;POR;542;6;0;0;;;;;4.0;63.2;15.0;20.0;5.0;8.0;36.0;16.0;53.0;56.3;10.0;10.0;33.0;14.0;3.0;8.0;6;0;23.0;10.0;0.0;5.0;400688
Silgio Lunfal;Lunos FC;Primera División Argentina;23;POR;1737;27;0;0;;;;;7.0;66.7;141.0;58.0;9.0;5.0;80.0;50.0;54.7;56.2;24.0;28.0;112.0;62.0;16.0;17.0;8;0;97.0;30.0;1.0;22.0;1866353
Dandin Hendin;Lunos FC;Primera División Argentina;20;Extremo izquierdo;1574;17;2;1;2.76;2.09;64.0;32.0;6.0;90.2;27.0;36.0;14.0;14.0;22.0;66.0;38.7;45.5;32.0;38.0;93.0;40.0;14.0;32.0;6;1;;;;;3760953
Aros Elinen;Lunos FC;Primera División Argentina;28;Mediapunta;2526;43;5;3;6.73;3.64;33.0;13.0;63.0;83.9;60.0;42.0;17.0;41.0;61.0;92.0;66.9;50.4;68.0;55.0;110.0;77.0;11.0;42.0;5;0;;;;;7925062
Ostsen Jorpel;Lunos FC;Primera División Argentina;28;Lateral derecho;924;10;0;0;1.79;1.36;12.0;3.0;15.0;72.3;23.0;28.0;22.0;11.0;4.0;14.0;48.3;57.2;6.0;9.0;76.0;8.0;12.0;5.0;5;0;;;;;1810724
Farvic Rosrin;Lunos FC;Primera División Argentina;22;DC;1910;29;2;2;2.78;3.6;21.0;5.0;27.0;69.6;124.0;29.0;16.0;4.0;37.0;13.0;52.0;56.2;36.0;63.0;207.0;19.0;21.0;18.0;5;0;;;;;30953163
Corju Lunrin;Lunos FC;Primera División Argentina;26;MC;2489;33;0;4;0.54;6.75;14.0;3.0;12.0;78.2;279.0;26.0;54.0;25.0;128.0;54.0;52.5;46.4;76.0;81.0;364.0;11.0;3.0;27.0;9;1;;;;;7743074
Roszar Quilan;Lunos FC;Primera División Argentina;23;Delantero centro;377;5;0;0;0.48;0.44;11.0;3.0;3.0;72.3;12.0;11.0;8.0;0.0;1.0;6.0;56.7;56.4;9.0;3.0;35.0;4.0;4.0;6.0;0;0;;;;;4806146
Elifal Hensen;Lunos FC;Primera División Argentina;26;Delantero centro;1290;15;1;1;1.63;0.64;43.0;11.0;17.0;76.4;72.0;14.0;9.0;12.0;9.0;15.0;32.4;44.6;21.0;22.0;51.0;14.0;4.0;13.0;7;0;;;;;1787388
Belgio Lunrin;Lunos FC;Primera División Argentina;22;MC;1540;18;0;0;2.32;0.35;5.0;1.0;17.0;86.7;62.0;37.0;5.0;2.0;32.0;18.0;44.7;53.0;25.0;24.0;97.0;47.0;12.0;31.0;3;0;;;;;683162
Golzar Danlan;Lunos FC;Primera División Argentina;22;Delantero centro;1746;21;5;2;6.16;4.45;53.0;21.0;30.0;89.2;102.0;48.0;40.0;13.0;46.0;54.0;68.3;43.7;25.0;49.0;82.0;56.0;20.0;14.0;9;0;;;;;2395111
Rosju Golic;Lunos FC;Primera División Argentina;25;Delantero centro;2235;29;8;2;7.99;6.16;84.0;28.0;68.0;84.2;142.0;112.0;74.0;11.0;31.0;21.0;30.6;57.2;80.0;79.0;288.0;58.0;20.0;42.0;1;0;;;;;9401983
Kalmir Ostez;Lunos FC;Primera División Argentina;28;DC;1945;32;1;3;1.51;1.01;15.0;5.0;22.0;82.2;215.0;19.0;74.0;19.0;57.0;14.0;66.9;61.1;23.0;30.0;222.0;44.0;21.0;16.0;7;0;;;;;6697226
Ostba Belkov;Lunos FC;Primera División Argentina;21;Pivote;2238;30;1;1;2.92;2.07;22.0;8.0;41.0;91.5;46.0;41.0;26.0;29.0;135.0;11.0;43.7;50.5;43.0;39.0;167.0;11.0;26.0;19.0;7;0;;;;;2810954
Lunsen Lunnen;Lunos FC;Primera División Argentina;18;Extremo izquierdo;2092;30;3;2;3.69;2.63;96.0;43.0;26.0;77.8;153.0;19.0;47.0;21.0;132.0;51.0;56.0;60.7;10.0;49.0;177.0;26.0;23.0;21.0;6;0;;;;;1264407
Farpel Corsen;Lunos FC;Primera División Argentina;26;Mediapunta;1471;17;7;4;6.56;2.53;25.0;8.0;47.0;74.6;145.0;48.0;34.0;1.0;54.0;13.0;64.2;53.4;54.0;35.0;105.0;6.0;10.0;33.0;7;0;;;;;5257870
Lunsen Torce;Lunos FC;Primera División Argentina;29;Lateral derecho;931;14;0;1;0.43;0.58;12.0;3.0;20.0;93.9;68.0;57.0;28.0;15.0;48.0;23.0;50.9;59.0;19.0;10.0;51.0;36.0;9.0;10.0;7;0;;;;;1826381
Hennen Lunvic;Lunos FC;Primera División Argentina;25;Mediapunta;2452;32;10;8;12.69;5.4;89.0;48.0;32.0;95.3;220.0;156.0;12.0;39.0;148.0;18.0;40.2;63.6;64.0;54.0;192.0;83.0;13.0;22.0;5;0;;;;;11285335
Jormir Torrin;Lunos FC;Primera División Argentina;17;DC;2542;41;2;2;5.08;1.92;39.0;12.0;36.0;66.3;283.0;45.0;47.0;22.0;114.0;80.0;63.7;44.3;20.0;35.0;332.0;72.0;21.0;45.0;6;0;;;;;10331893
Golhus Arpel;Lunos FC;Primera División Argentina;28;Lateral derecho;2313;32;2;3;3.74;4.76;39.0;10.0;42.0;80.5;176.0;53.0;98.0;22.0;14.0;68.0;55.4;57.3;33.0;27.0;317.0;12.0;14.0;23.0;4;0;;;;;14325799
Silhus Lunez;Lunos FC;Primera División Argentina;20;Extremo izquierdo;947;16;1;1;1.66;0.92;36.0;14.0;12.0;69.7;42.0;49.0;1.0;9.0;37.0;17.0;64.2;56.2;21.0;8.0;33.0;28.0;5.0;20.0;7;0;;;;;2951014
Ivavic Jormir;Lunos FC;Primera División Argentina;21;Delantero centro;2380;36;1;0;0.96;0.41;107.0;38.0;10.0;86.9;100.0;55.0;47.0;5.0;78.0;63.0;44.3;41.3;12.0;48.0;177.0;14.0;7.0;41.0;0;0;;;;;297670
Ostos Beltov;Morzar FC;Primera División Argentina;25;POR;2061;28;0;0;;;;;22.0;67.3;199.0;82.0;63.0;2.0;11.0;68.0;33.4;67.8;75.0;20.0;250.0;8.0;10.0;36.0;3;0;88.0;24.0;6.0;5.0;11819282
Quiba Quifal;Morzar FC;Primera División Argentina;30;POR;1091;16;0;0;;;;;16.0;77.8;20.0;31.0;20.0;6.0;27.0;36.0;39.0;49.9;5.0;27.0;55.0;10.0;4.0;17.0;7;0;37.0;28.0;2.0;12.0;1309092
Rosrin Corju;Morzar FC;Primera División Argentina;20;MC;1745;22;0;0;0.48;0.41;15.0;7.0;26.0;67.6;130.0;25.0;5.0;14.0;78.0;62.0;34.2;48.3;33.0;41.0;137.0;13.0;12.0;14.0;3;0;;;;;3491831
Tormir Morvic;Morzar FC;Primera División Argentina;27;Lateral derecho;2253;31;1;2;2.13;3.0;16.0;6.0;22.0;79.2;46.0;55.0;19.0;6.0;24.0;81.0;69.4;58.6;57.0;68.0;234.0;49.0;28.0;11.0;4;0;;;;;1427599
Arsen Arfal;Morzar FC;Primera División Argentina;23;Pivote;1186;17;0;2;1.07;1.94;19.0;5.0;19.0;71.3;114.0;72.0;22.0;8.0;77.0;27.0;52.0;49.0;39.0;13.0;112.0;45.0;15.0;14.0;0;0;;;;;7573041
Farlan Lunzar;Morzar FC;Primera División Argentina;20;DC;902;12;0;0;1.43;0.37;2.0;0.0;2.0;72.9;62.0;47.0;22.0;14.0;12.0;17.0;37.9;55.4;22.0;22.0;101.0;19.0;2.0;20.0;2;0;;;;;12410475
Golic Prace;Morzar FC;Primera División Argentina;22;MC;1358;16;1;2;0.2;3.61;17.0;7.0;4.0;91.7;44.0;39.0;15.0;18.0;35.0;56.0;46.6;66.8;35.0;49.0;195.0;27.0;2.0;32.0;9;0;;;;;20506189
Ivaju Lundin;Morzar FC;Primera División Argentina;19;Lateral derecho;2114;24;0;0;2.49;4.54;11.0;2.0;42.0;66.8;150.0;17.0;15.0;13.0;26.0;74.0;51.0;59.6;45.0;36.0;152.0;9.0;10.0;30.0;3;0;;;;;7234455
Golnen Prakov;Morzar FC;Primera División Argentina;29;Pivote;1499;19;1;0;1.15;2.46;14.0;6.0;6.0;90.6;115.0;80.0;37.0;2.0;47.0;36.0;34.2;48.4;33.0;20.0;108.0;6.0;9.0;19.0;3;0;;;;;5451688
Nevju Lunju;Morzar FC;Primera División Argentina;24;Mediapunta;678;7;2;1;2.4;1.18;12.0;5.0;7.0;94.9;71.0;19.0;19.0;2.0;32.0;19.0;57.7;63.6;13.0;17.0;94.0;18.0;5.0;4.0;6;0;;;;;3723352
Ivalan Nevnen;Morzar FC;Primera División Argentina;20;Lateral derecho;1490;23;0;1;0.75;3.59;28.0;5.0;24.0;89.2;50.0;60.0;20.0;10.0;92.0;64.0;59.6;50.3;37.0;37.0;220.0;44.0;14.0;8.0;2;0;;;;;14102643
Ivakov Kalvic;Morzar FC;Primera División Argentina;18;Pivote;1348;22;0;0;2.55;1.99;18.0;7.0;21.0;80.7;24.0;35.0;22.0;6.0;33.0;33.0;41.6;61.8;6.0;16.0;110.0;37.0;12.0;26.0;6;0;;;;;599154
Dangio Rosic;Morzar FC;Primera División Argentina;27;MC;1913;25;0;0;3.11;4.02;25.0;5.0;9.0;85.7;29.0;32.0;8.0;9.0;57.0;9.0;31.0;56.7;33.0;39.0;115.0;44.0;10.0;22.0;6;0;;;;;294615
Belce Siltov;Morzar FC;Primera División Argentina;22;Extremo izquierdo;1049;12;4;2;3.73;3.47;22.0;9.0;26.0;80.7;65.0;56.0;2.0;7.0;59.0;36.0;36.3;50.7;29.0;28.0;103.0;27.0;4.0;18.0;6;0;;;;;13057039
Morzar Ostfal;Morzar FC;Primera División Argentina;23;Pivote;1668;23;0;0;2.72;1.7;32.0;13.0;24.0;93.0;117.0;25.0;25.0;15.0;24.0;43.0;37.6;49.2;25.0;9.0;143.0;73.0;17.0;36.0;9;0;;;;;1763811
Lunvic Argio;Morzar FC;Primera División Argentina;21;Extremo izquierdo;1914;23;5;2;4.75;1.85;93.0;23.0;8.0;74.0;82.0;15.0;54.0;9.0;70.0;24.0;59.7;41.8;39.0;29.0;122.0;76.0;17.0;45.0;4;0;;;;;5232748
Elipel Jorgio;Morzar FC;Primera División Argentina;28;DC;855;10;0;0;0.26;0.9;15.0;3.0;9.0;81.3;23.0;43.0;23.0;6.0;3.0;10.0;47.2;54.7;5.0;24.0;76.0;2.0;5.0;9.0;4;1;;;;;2153478
Corgio Pragio;Morzar FC;Primera División Argentina;25;DC;1115;13;0;1;0.61;1.39;3.0;1.0;16.0;80.4;70.0;44.0;12.0;11.0;49.0;12.0;51.0;59.6;14.0;34.0;102.0;31.0;8.0;12.0;7;0;;;;;4186918
Golfal Nevzar;Morzar FC;Primera División Argentina;28;Mediapunta;2617;29;7;6;7.1;5.79;80.0;33.0;48.0;77.5;139.0;90.0;16.0;24.0;73.0;13.0;68.7;55.2;71.0;39.0;199.0;18.0;4.0;57.0;5;0;;;;;4213842
Rosrin Eligio;Morzar FC;Primera División Argentina;20;Pivote;1594;26;0;0;0.39;2.74;27.0;5.0;14.0;81.1;103.0;10.0;29.0;20.0;26.0;51.0;48.7;52.3;9.0;35.0;47.0;20.0;2.0;8.0;2;0;;;;;1447851
Jorfal Kalnen;Morzar FC;Primera División Argentina;27;DC;763;8;0;0;1.41;2.06;4.0;1.0;16.0;76.6;62.0;30.0;12.0;7.0;32.0;3.0;61.5;62.8;14.0;12.0;36.0;22.0;7.0;19.0;1;1;;;;;3126328
Rosos Aric;Morzar FC;Primera División Argentina;20;MC;611;7;0;0;0.19;0.81;9.0;3.0;9.0;84.2;28.0;13.0;1.0;4.0;17.0;2.0;44.5;50.1;3.0;10.0;37.0;9.0;2.0;12.0;7;0;;;;;2839791
Sillan Farrin;Eliic FC;Primera División Argentina;31;POR;394;4;0;0;;;;;4.0;67.5;17.0;12.0;1.0;0.0;19.0;9.0;62.7;44.3;4.0;5.0;12.0;6.0;3.0;3.0;7;0;13.0;6.0;0.0;4.0;370939
Lunju Danju;Eliic FC;Primera División Argentina;23;POR;466;5;0;0;;;;;4.0;87.3;45.0;12.0;11.0;1.0;15.0;16.0;43.8;52.1;4.0;18.0;31.0;12.0;6.0;5.0;2;0;15.0;4.0;2.0;2.0;23055812
Farkov Farkov;Eliic FC;Primera División Argentina;25;Delantero centro;2415;32;8;6;7.24;4.57;81.0;24.0;49.0;91.4;142.0;91.0;3.0;20.0;112.0;25.0;39.9;43.8;58.0;71.0;109.0;9.0;13.0;55.0;5;0;;;;;2489778
Tordin Ivahus;Eliic FC;Primera División Argentina;19;Mediapunta;1752;20;7;3;8.11;2.75;33.0;11.0;49.0;79.4;172.0;19.0;59.0;15.0;41.0;66.0;68.1;58.4;21.0;62.0;144.0;75.0;13.0;38.0;4;0;;;;;7817253
Nevlan Torrin;Eliic FC;Primera División Argentina;23;Mediapunta;1490;24;3;1;3.34;2.4;49.0;15.0;27.0;89.9;67.0;17.0;4.0;6.0;78.0;50.0;60.4;57.5;30.0;22.0;94.0;26.0;20.0;25.0;9;0;;;;;8191879
Sildin Corpel;Eliic FC;Primera División Argentina;25;DC;273;3;0;0;0.41;0.13;2.0;0.0;4.0;76.2;9.0;3.0;6.0;4.0;10.0;6.0;62.4;61.5;7.0;6.0;13.0;7.0;3.0;6.0;1;0;;;;;4807766
Nevvic Torba;Eliic FC;Primera División Argentina;31;MC;2085;33;0;1;0.97;2.33;19.0;7.0;36.0;76.8;182.0;59.0;5.0;17.0;102.0;15.0;63.9;54.4;46.0;15.0;97.0;89.0;17.0;33.0;3;0;;;;;2710714
Lunos Tormir;Eliic FC;Primera División Argentina;22;Extremo izquierdo;2240;28;9;4;10.32;4.56;63.0;27.0;43.0;71.3;80.0;96.0;3.0;8.0;48.0;49.0;48.4;49.0;49.0;15.0;246.0;8.0;8.0;54.0;8;0;;;;;6919126
Pravic Arfal;Eliic FC;Primera División Argentina;21;Mediapunta;2923;50;12;7;11.95;6.98;46.0;18.0;50.0;78.5;238.0;77.0;68.0;22.0;93.0;85.0;37.6;43.3;71.0;67.0;315.0;34.0;28.0;57.0;2;0;;;;;7642828
Rosic Ivapel;Eliic FC;Primera División Argentina;30;Lateral derecho;1796;26;1;2;1.77;3.08;5.0;2.0;41.0;74.1;73.0;47.0;51.0;14.0;14.0;48.0;51.4;64.8;46.0;28.0;193.0;38.0;10.0;28.0;2;2;;;;;5981617
Lunpel Quisen;Eliic FC;Primera División Argentina;32;Lateral derecho;2595;42;0;2;3.72;4.0;31.0;6.0;46.0;88.9;172.0;23.0;39.0;39.0;124.0;18.0;39.1;44.5;57.0;51.0;147.0;100.0;14.0;15.0;1;0;;;;;2932212
Belce Nevgio;Eliic FC;Primera División Argentina;23;Lateral derecho;1819;29;1;0;3.42;4.56;27.0;7.0;13.0;93.8;69.0;96.0;14.0;16.0;96.0;80.0;40.2;54.1;35.0;28.0;136.0;66.0;18.0;9.0;2;0;;;;;7221084
Corju Fardin;Eliic FC;Primera División Argentina;28;Mediapunta;1103;13;3;1;3.87;2.4;30.0;7.0;10.0;75.3;109.0;31.0;28.0;18.0;33.0;42.0;32.5;53.5;24.0;16.0;113.0;5.0;4.0;7.0;7;0;;;;;12600254
Golrin Nevdin;Eliic FC;Primera División Argentina;25;DC;1774;27;0;1;2.75;4.52;22.0;5.0;35.0;79.5;41.0;32.0;53.0;24.0;113.0;69.0;31.6;64.3;34.0;12.0;132.0;11.0;22.0;10.0;3;0;;;;;3454141
Nevlan Golfal;Eliic FC;Primera División Argentina;18;Lateral derecho;2899;45;2;1;1.33;6.29;17.0;8.0;37.0;66.1;258.0;57.0;64.0;46.0;193.0;18.0;63.3;48.7;16.0;21.0;136.0;84.0;33.0;71.0;0;1;;;;;7464490
Jorce Silba;Eliic FC;Primera División Argentina;25;Delantero centro;2807;38;2;1;2.54;1.2;137.0;37.0;7.0;75.3;66.0;53.0;4.0;9.0;20.0;69.0;35.9;49.2;13.0;24.0;88.0;79.0;19.0;22.0;3;0;;;;;814894
Tordin Danos;Eliic FC;Primera División Argentina;28;Mediapunta;1794;30;3;1;2.79;3.07;75.0;25.0;5.0;67.7;32.0;34.0;39.0;26.0;84.0;21.0;59.2;62.6;32.0;24.0;95.0;22.0;23.0;25.0;8;0;;;;;992399
Eligio Ostmir;Eliic FC;Primera División Argentina;33;Lateral derecho;2164;38;1;3;3.27;4.69;41.0;15.0;30.0;87.8;196.0;23.0;6.0;7.0;16.0;79.0;69.3;43.8;51.0;19.0;242.0;68.0;19.0;43.0;6;0;;;;;5023938
Prafal Golce;Eliic FC;Primera División Argentina;24;Delantero centro;1029;12;0;0;0.84;0.27;21.0;6.0;12.0;65.1;50.0;41.0;13.0;12.0;28.0;42.0;34.8;58.3;13.0;20.0;34.0;25.0;4.0;11.0;5;0;;;;;339459
Ivaez Henic;Eliic FC;Primera División Argentina;25;Pivote;1381;23;0;1;0.86;1.45;6.0;1.0;10.0;84.6;87.0;52.0;30.0;14.0;66.0;56.0;30.4;51.1;20.0;25.0;87.0;18.0;18.0;25.0;1;0;;;;;6402274
Nevpel Belju;Eliic FC;Primera División Argentina;21;Extremo izquierdo;2850;42;4;1;4.61;2.93;33.0;16.0;55.0;84.5;128.0;56.0;20.0;39.0;170.0;16.0;31.0;44.0;43.0;42.0;166.0;43.0;12.0;20.0;0;0;;;;;4460133
Argio Joros;Eliic FC;Primera División Argentina;33;Lateral derecho;1725;21;0;2;2.68;1.03;15.0;5.0;20.0;87.0;145.0;56.0;5.0;3.0;109.0;52.0;35.1;51.1;52.0;25.0;143.0;7.0;6.0;9.0;4;0;;;;;10004331
Tormir Tordin;Belgio FC;Primera División Argentina;24;POR;2586;32;0;0;;;;;67.0;69.4;121.0;132.0;61.0;30.0;146.0;12.0;66.7;52.9;34.0;70.0;272.0;34.0;30.0;14.0;0;0;99.0;50.0;11.0;34.0;3275105
Belvic Ivaez;Belgio FC;Primera División Argentina;28;POR;1901;28;0;0;;;;;53.0;69.3;168.0;29.0;69.0;11.0;107.0;26.0;39.6;65.8;29.0;21.0;186.0;58.0;12.0;19.0;2;0;47.0;41.0;8.0;7.0;7479585
Belzar Jorkov;Belgio FC;Primera División Argentina;22;DC;1997;30;0;0;0.26;1.32;21.0;7.0;14.0;86.4;53.0;49.0;4.0;15.0;81.0;50.0;38.8;62.8;40.0;53.0;105.0;23.0;15.0;21.0;6;0;;;;;8793788
Aric Silos;Belgio FC;Primera División Argentina;20;Delantero centro;1038;12;2;1;2.44;1.82;22.0;6.0;20.0;73.0;57.0;51.0;22.0;4.0;19.0;13.0;45.1;49.6;17.0;15.0;93.0;38.0;10.0;20.0;6;0;;;;;3501056
Lunvic Fargio;Belgio FC;Primera División Argentina;25;Lateral derecho;2626;41;1;1;5.2;1.29;30.0;6.0;51.0;71.7;253.0;131.0;64.0;15.0;128.0;88.0;58.3;47.1;62.0;77.0;136.0;79.0;19.0;40.0;6;0;;;;;5255473
